res	var	time	id	start	end	path
monthly	more_precip	historical	04786	18990101	20051130	/monthly/more_precip/historical/monatswerte_RR_04786_18990101_20051130_hist.zip
monthly	more_precip	historical	04788	18910101	20051231	/monthly/more_precip/historical/monatswerte_RR_04788_18910101_20051231_hist.zip
monthly	more_precip	historical	04789	19720101	20051231	/monthly/more_precip/historical/monatswerte_RR_04789_19720101_20051231_hist.zip
monthly	more_precip	historical	04790	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04790_18910101_20151231_hist.zip
monthly	more_precip	historical	04791	19910501	19980331	/monthly/more_precip/historical/monatswerte_RR_04791_19910501_19980331_hist.zip
monthly	more_precip	historical	04792	19020101	20000630	/monthly/more_precip/historical/monatswerte_RR_04792_19020101_20000630_hist.zip
monthly	more_precip	historical	04793	19510101	20021231	/monthly/more_precip/historical/monatswerte_RR_04793_19510101_20021231_hist.zip
monthly	more_precip	historical	04794	19790701	19810228	/monthly/more_precip/historical/monatswerte_RR_04794_19790701_19810228_hist.zip
monthly	more_precip	historical	04796	19840101	19980930	/monthly/more_precip/historical/monatswerte_RR_04796_19840101_19980930_hist.zip
monthly	more_precip	historical	04797	19690101	20061231	/monthly/more_precip/historical/monatswerte_RR_04797_19690101_20061231_hist.zip
monthly	more_precip	historical	04798	19010101	20151231	/monthly/more_precip/historical/monatswerte_RR_04798_19010101_20151231_hist.zip
monthly	more_precip	historical	04799	19690101	19910331	/monthly/more_precip/historical/monatswerte_RR_04799_19690101_19910331_hist.zip
monthly	more_precip	historical	04800	18990101	20151231	/monthly/more_precip/historical/monatswerte_RR_04800_18990101_20151231_hist.zip
monthly	more_precip	historical	04802	18990101	20061231	/monthly/more_precip/historical/monatswerte_RR_04802_18990101_20061231_hist.zip
monthly	more_precip	historical	04803	19230101	20151231	/monthly/more_precip/historical/monatswerte_RR_04803_19230101_20151231_hist.zip
monthly	more_precip	historical	04804	19310101	19701230	/monthly/more_precip/historical/monatswerte_RR_04804_19310101_19701230_hist.zip
monthly	more_precip	historical	04805	19260101	19601230	/monthly/more_precip/historical/monatswerte_RR_04805_19260101_19601230_hist.zip
monthly	more_precip	historical	04806	18940101	20021231	/monthly/more_precip/historical/monatswerte_RR_04806_18940101_20021231_hist.zip
monthly	more_precip	historical	04807	19380101	20010430	/monthly/more_precip/historical/monatswerte_RR_04807_19380101_20010430_hist.zip
monthly	more_precip	historical	04808	19360101	20151231	/monthly/more_precip/historical/monatswerte_RR_04808_19360101_20151231_hist.zip
monthly	more_precip	historical	04809	19000101	20020131	/monthly/more_precip/historical/monatswerte_RR_04809_19000101_20020131_hist.zip
monthly	more_precip	historical	04810	18960101	20151231	/monthly/more_precip/historical/monatswerte_RR_04810_18960101_20151231_hist.zip
monthly	more_precip	historical	04811	19370101	20151231	/monthly/more_precip/historical/monatswerte_RR_04811_19370101_20151231_hist.zip
monthly	more_precip	historical	04812	18990601	20151231	/monthly/more_precip/historical/monatswerte_RR_04812_18990601_20151231_hist.zip
monthly	more_precip	historical	04813	19160101	19931031	/monthly/more_precip/historical/monatswerte_RR_04813_19160101_19931031_hist.zip
monthly	more_precip	historical	04814	19760101	19941231	/monthly/more_precip/historical/monatswerte_RR_04814_19760101_19941231_hist.zip
monthly	more_precip	historical	04815	19660101	20030331	/monthly/more_precip/historical/monatswerte_RR_04815_19660101_20030331_hist.zip
monthly	more_precip	historical	04817	19710101	20001231	/monthly/more_precip/historical/monatswerte_RR_04817_19710101_20001231_hist.zip
monthly	more_precip	historical	04818	19370101	20151231	/monthly/more_precip/historical/monatswerte_RR_04818_19370101_20151231_hist.zip
monthly	more_precip	historical	04819	19370101	20051231	/monthly/more_precip/historical/monatswerte_RR_04819_19370101_20051231_hist.zip
monthly	more_precip	historical	04820	19460101	20061231	/monthly/more_precip/historical/monatswerte_RR_04820_19460101_20061231_hist.zip
monthly	more_precip	historical	04821	19110701	20151231	/monthly/more_precip/historical/monatswerte_RR_04821_19110701_20151231_hist.zip
monthly	more_precip	historical	04822	19010101	20151231	/monthly/more_precip/historical/monatswerte_RR_04822_19010101_20151231_hist.zip
monthly	more_precip	historical	04823	19770101	20011231	/monthly/more_precip/historical/monatswerte_RR_04823_19770101_20011231_hist.zip
monthly	more_precip	historical	04824	19130101	20151231	/monthly/more_precip/historical/monatswerte_RR_04824_19130101_20151231_hist.zip
monthly	more_precip	historical	04825	19010101	20090831	/monthly/more_precip/historical/monatswerte_RR_04825_19010101_20090831_hist.zip
monthly	more_precip	historical	04828	19250101	19991231	/monthly/more_precip/historical/monatswerte_RR_04828_19250101_19991231_hist.zip
monthly	more_precip	historical	04829	19210101	20151231	/monthly/more_precip/historical/monatswerte_RR_04829_19210101_20151231_hist.zip
monthly	more_precip	historical	04830	19190101	20101231	/monthly/more_precip/historical/monatswerte_RR_04830_19190101_20101231_hist.zip
monthly	more_precip	historical	04831	19600101	20031231	/monthly/more_precip/historical/monatswerte_RR_04831_19600101_20031231_hist.zip
monthly	more_precip	historical	04832	19330101	19991231	/monthly/more_precip/historical/monatswerte_RR_04832_19330101_19991231_hist.zip
monthly	more_precip	historical	04833	19190101	20010331	/monthly/more_precip/historical/monatswerte_RR_04833_19190101_20010331_hist.zip
monthly	more_precip	historical	04834	19350101	20011231	/monthly/more_precip/historical/monatswerte_RR_04834_19350101_20011231_hist.zip
monthly	more_precip	historical	04835	19020101	20041231	/monthly/more_precip/historical/monatswerte_RR_04835_19020101_20041231_hist.zip
monthly	more_precip	historical	04836	19510101	19980630	/monthly/more_precip/historical/monatswerte_RR_04836_19510101_19980630_hist.zip
monthly	more_precip	historical	04837	19851201	19900930	/monthly/more_precip/historical/monatswerte_RR_04837_19851201_19900930_hist.zip
monthly	more_precip	historical	04838	19360101	20031231	/monthly/more_precip/historical/monatswerte_RR_04838_19360101_20031231_hist.zip
monthly	more_precip	historical	04840	19380101	20040630	/monthly/more_precip/historical/monatswerte_RR_04840_19380101_20040630_hist.zip
monthly	more_precip	historical	04841	18960101	20151231	/monthly/more_precip/historical/monatswerte_RR_04841_18960101_20151231_hist.zip
